base_name,base_id,trim1_id,trim2_id,trim3_id
06lexingt,06lexingt,,,
28tinsyst,28tinsyst,,,
32coupe,,32coupe1t,32coupe2t,
34fortinsyst,34fortinsyst,,,
40coupe,,40coupe1t,40coupe2t,
40cusyst,40cusyst,,,
48ccotinsyst,48ccotinsyst,,,
48chetinsyst,48chetinsyst,,,
48csetinsyst,48csetinsyst,,,
48fleet,48fleet,,,
48fletinsyst,48fletinsyst,,,
49coupe,,,,49coupe3t
55century,,55century1t,,
57belairt,57belairt,,,
57corvette,,57corvette1t,,
57ranchero,,57ranchero1t,,
57tbipadsyst,57tbipadsyst,,,
58impala,,58impala1t,,
59eldorado,,59eldorado1t,59eldorado2t,
63corvettet,63corvettet,,,
63tbird,,,63tbird2t,
64galaxie,,,64galaxie2t,64galaxie3t
64impalasyst,64impalasyst,,,
64impalat,64impalat,,,
64mustang,,64mustang1t,64mustang2t,
64ssitinsyst,64ssitinsyst,,,
67camaro,,67camaro1t,67camaro2t,
67chevellet,67chevellet,,,
67chevsyst,67chevsyst,,,
67csstinsyst,67csstinsyst,,,
67rscamsyst,67rscamsyst,,,
67rsctinsyst,67rsctinsyst,,,
67sscamfact,67sscamfact,,,
67ssctinfact,67ssctinfact,,,
69amcamxsyst,69amcamxsyst,,,
69amctinsyst,69amctinsyst,,,
69amx,,69amx1t,69amx2t,
69charger,,69charger1t,,
69gto,,69gto1t,69gto2t,
69gttorsyst,69gttorsyst,,,
69gtttinsyst,69gtttinsyst,,,
69gtxsyst,69gtxsyst,,,
69gtxtinsyst,69gtxtinsyst,,,
69judtinsyst,69judtinsyst,,,
69mactinsyst,69mactinsyst,,,
69oldtinsyst,69oldtinsyst,,,
69roadrunnert,69roadrunnert,,,
69rsctinsyst,69rsctinsyst,,,
69suptinsyst,69suptinsyst,,,
70aartinsyst,70aartinsyst,,,
70camino,,70camino1t,70camino2t,
70chevsyst,70chevsyst,,,
70csstinsyst,70csstinsyst,,,
70cuda,,70cuda1t,70cuda2t,
70firebsyst,70firebsyst,,,
70hemicusyst,70hemicusyst,,,
70hemtinsyst,70hemtinsyst,,,
70mactinsyst,70mactinsyst,,,
70mustang,,70mustang1t,,
70ssetinsyst,70ssetinsyst,,,
70ssntinsyst,70ssntinsyst,,,
70stangfact,70stangfact,,,
70stangsyst,70stangsyst,,,
70statinsyst,70statinsyst,,,
70vcudasyst,70vcudasyst,,,
70vcutinsyst,70vcutinsyst,,,
71duster,,,71duster2t,
71wedtinsyst,71wedtinsyst,,,
72chetinsyst,72chetinsyst,,,
73firebird,,73firebird1t,73firebird2t,
73firtinsyst,73firtinsyst,,,
73fortinsyst,73fortinsyst,,,
