base_car,full_id,variant_type,suffix
57belair,57belairt,other:t,t
57belair,57belairtñB,other:tñB,tñB
57chevy,57chevyN,other:N,N
57chevy,57chevyFactoryThisisafactorystockcoloribIðÿÿÿÿÿÿA,factory_color,FactoryThisisafactorystockcoloribIðÿÿÿÿÿÿA
59impala,59impalaO,other:O,O
59impala,59impala,base,
67camaro,67camaro2t,trim_2t,2t
67camaro,67camaro1t,trim_1t,1t
67camaro,67camaroN,other:N,N
67camaro,67camaroûN,other:ûN,ûN
67camaro,67camaro-úN,other:-úN,-úN
69vette,69vetteO,other:O,O
69vette,69vette,base,
69torino,69torinoN,other:N,N
69torino,69torino,base,
69roadrunner,69roadrunnert,other:t,t
69gto,69gto1t,trim_1t,1t
69gto,69gto2t,trim_2t,2t
69gto,69gtotinFactoryAsper69GTOCSVxgXXXXXXXXIðÿÿÿÿÿÿAt,factory_color,tinFactoryAsper69GTOCSVxgXXXXXXXXIðÿÿÿÿÿÿAt
69gto,69gtotinFactoryAsper69GTOCSVraZRRRRRRRRIðÿÿÿÿÿÿAs,factory_color,tinFactoryAsper69GTOCSVraZRRRRRRRRIðÿÿÿÿÿÿAs
69gto,69gtotinFactoryAsper69GTOCSVudUUUUUUUUIðÿÿÿÿÿÿAr,factory_color,tinFactoryAsper69GTOCSVudUUUUUUUUIðÿÿÿÿÿÿAr
69gto,69gtotinFactoryAsper69GTOCSVtcTTTTTTTTIðÿÿÿÿÿÿAq,factory_color,tinFactoryAsper69GTOCSVtcTTTTTTTTIðÿÿÿÿÿÿAq
69gto,69gtotinFactoryAsper69GTOCSVudUUUUUUUUIðÿÿÿÿÿÿAp,factory_color,tinFactoryAsper69GTOCSVudUUUUUUUUIðÿÿÿÿÿÿAp
69gto,69gtotinFactoryAsper69GTOCSVqYQQQQQQQQIðÿÿÿÿÿÿAo,factory_color,tinFactoryAsper69GTOCSVqYQQQQQQQQIðÿÿÿÿÿÿAo
69gto,69gtotinFactoryAsper69GTOCSVudUUUUUUUUIðÿÿÿÿÿÿAn,factory_color,tinFactoryAsper69GTOCSVudUUUUUUUUIðÿÿÿÿÿÿAn
69gto,69gtoN,other:N,N
69gto,69gtoO,other:O,O
69gto,69gtotinFactoryAsper69GTOCSVyhaYYYYYYYYIðÿÿÿÿÿÿAv,factory_color,tinFactoryAsper69GTOCSVyhaYYYYYYYYIðÿÿÿÿÿÿAv
69gto,69gtotinFactoryAsper69GTOCSVveVVVVVVVVIðÿÿÿÿÿÿAu,factory_color,tinFactoryAsper69GTOCSVveVVVVVVVVIðÿÿÿÿÿÿAu
69gto,69gtotinFactoryAsper69GTOCSVxgXXXXXXXXIðÿÿÿÿÿÿA,factory_color,tinFactoryAsper69GTOCSVxgXXXXXXXXIðÿÿÿÿÿÿA
69gto,69gtotinFactoryAsper69GTOCSVudUUUUUUUUIðÿÿÿÿÿÿA,factory_color,tinFactoryAsper69GTOCSVudUUUUUUUUIðÿÿÿÿÿÿA
69gto,69gtotinFactoryAsper69GTOCSVxgXXXXXXXXIðÿÿÿÿÿÿAz,factory_color,tinFactoryAsper69GTOCSVxgXXXXXXXXIðÿÿÿÿÿÿAz
69gto,69gtotinFactoryAsper69GTOCSVzibZZZZZZZZIðÿÿÿÿÿÿAy,factory_color,tinFactoryAsper69GTOCSVzibZZZZZZZZIðÿÿÿÿÿÿAy
69gto,69gtotinFactoryAsper69GTOCSVtcTTTTTTTTIðÿÿÿÿÿÿAx,factory_color,tinFactoryAsper69GTOCSVtcTTTTTTTTIðÿÿÿÿÿÿAx
69gto,69gtotinFactoryAsper69GTOCSVveVVVVVVVVIðÿÿÿÿÿÿ,factory_color,tinFactoryAsper69GTOCSVveVVVVVVVVIðÿÿÿÿÿÿ
69gto,69gtoscaYYYQQQQQQQQIðÿÿÿÿÿ,other:scaYYYQQQQQQQQIðÿÿÿÿÿ,scaYYYQQQQQQQQIðÿÿÿÿÿ
69gto,69gtoscaYYYQQQQQQQQI0,other:scaYYYQQQQQQQQI0,scaYYYQQQQQQQQI0
69gto,69gtoflaMacEmersonThispaintjobrocksvaVNNNNNNNNI0,other:flaMacEmersonThispaintjobrocksvaVNNNNNNNNI0,flaMacEmersonThispaintjobrocksvaVNNNNNNNNI0
70mustang,70mustang1t,trim_1t,1t
70stang,70stangïN,other:ïN,ïN
70stang,70stangN,other:N,N
70stang,70stangfactorySkintakenfrª,other:factorySkintakenfrª,factorySkintakenfrª
70stang,70stangFactoryThisisafactorystockcolorjcIðÿÿÿÿÿÿA,factory_color,FactoryThisisafactorystockcolorjcIðÿÿÿÿÿÿA
70stang,70stangFactoryThisisafactorystockcolorleIðÿÿÿÿÿÿA,factory_color,FactoryThisisafactorystockcolorleIðÿÿÿÿÿÿA
70stang,70stangFactoryThisisafactorystockcoloribIðÿÿÿÿÿÿA,factory_color,FactoryThisisafactorystockcoloribIðÿÿÿÿÿÿA
70cuda,70cuda2t,trim_2t,2t
70cuda,70cuda1t,trim_1t,1t
70hemicu,70hemicuN,other:N,N
70hemicu,70hemicuõN,other:õN,õN
70hemicu,70hemicuôN,other:ôN,ôN
71duster,71duster2t,trim_2t,2t
71duster,71dusterN,other:N,N
71duster,71duster-N,other:-N,-N
