car_id,base_car,variant
06lexingt,06lexingt,base
28tinsyst,28tinsyst,base
32coupe1t,32coupe,trim1
32coupe2t,32coupe,trim2
34fortinsyst,34fortinsyst,base
40coupe1t,40coupe,trim1
40coupe2t,40coupe,trim2
40cusyst,40cusyst,base
48ccotinsyst,48ccotinsyst,base
48chetinsyst,48chetinsyst,base
48csetinsyst,48csetinsyst,base
48fleet,48fleet,base
48fletinsyst,48fletinsyst,base
49coupe3t,49coupe,trim3
55century1t,55century,trim1
57belairt,57belairt,base
57corvette1t,57corvette,trim1
57ranchero1t,57ranchero,trim1
57tbipadsyst,57tbipadsyst,base
58impala1t,58impala,trim1
59eldorado1t,59eldorado,trim1
59eldorado2t,59eldorado,trim2
63corvettet,63corvettet,base
63tbird2t,63tbird,trim2
64galaxie2t,64galaxie,trim2
64galaxie3t,64galaxie,trim3
64impalasyst,64impalasyst,base
64impalat,64impalat,base
64mustang1t,64mustang,trim1
64mustang2t,64mustang,trim2
64ssitinsyst,64ssitinsyst,base
67camaro1t,67camaro,trim1
67camaro2t,67camaro,trim2
67chevellet,67chevellet,base
67chevsyst,67chevsyst,base
67csstinsyst,67csstinsyst,base
67rscamsyst,67rscamsyst,base
67rsctinsyst,67rsctinsyst,base
67sscamfact,67sscamfact,base
67ssctinfact,67ssctinfact,base
69amcamxsyst,69amcamxsyst,base
69amctinsyst,69amctinsyst,base
69amx1t,69amx,trim1
69amx2t,69amx,trim2
69charger1t,69charger,trim1
69gto1t,69gto,trim1
69gto2t,69gto,trim2
69gttorsyst,69gttorsyst,base
69gtttinsyst,69gtttinsyst,base
69gtxsyst,69gtxsyst,base
69gtxtinsyst,69gtxtinsyst,base
69judtinsyst,69judtinsyst,base
69mactinsyst,69mactinsyst,base
69oldtinsyst,69oldtinsyst,base
69roadrunnert,69roadrunnert,base
69rsctinsyst,69rsctinsyst,base
69suptinsyst,69suptinsyst,base
70aartinsyst,70aartinsyst,base
70camino1t,70camino,trim1
70camino2t,70camino,trim2
70chevsyst,70chevsyst,base
70csstinsyst,70csstinsyst,base
70cuda1t,70cuda,trim1
70cuda2t,70cuda,trim2
70firebsyst,70firebsyst,base
70hemicusyst,70hemicusyst,base
70hemtinsyst,70hemtinsyst,base
70mactinsyst,70mactinsyst,base
70mustang1t,70mustang,trim1
70ssetinsyst,70ssetinsyst,base
70ssntinsyst,70ssntinsyst,base
70stangfact,70stangfact,base
70stangsyst,70stangsyst,base
70statinsyst,70statinsyst,base
70vcudasyst,70vcudasyst,base
70vcutinsyst,70vcutinsyst,base
71duster2t,71duster,trim2
71wedtinsyst,71wedtinsyst,base
72chetinsyst,72chetinsyst,base
73firebird1t,73firebird,trim1
73firebird2t,73firebird,trim2
73firtinsyst,73firtinsyst,base
73fortinsyst,73fortinsyst,base
