BrandID,Brand
13,Edelbrockedel
14,Holleyholl
15,GMgm
16,Rochesterroch
17,Borg - Warnerborg
18,Vichvich
19,Tibbitstibb
20,Lindstromlind
21,Cranecran
22,Cartercart
23,Carter - Rochester
25,Marinnmari
26,Mallorymall
27,Accelacce
28,Strombergstro
29,AeroFitaero
30,Hookerhook
31,TFSpecialtfs
32,Apexapex
34,ProTreadprot
35,PowerGrippowe
36,C & Aca
37,Manleymanl
38,Offenhauseroffe
39,Signaturesign
40,TRWtrw
41,JE Pistonsjepi
42,Mr. Gasketmrg
43,Pro - Formance
44,Blinskyblin
45,SMVintagesm
46,Bullybull
47,Hayshays
48,Lakewoodlake
49,Ferrariferr
50,Monarchgood
53,Emberwood
54,Full Gee
56,BlackTop
57,Monroe
58,Lunati
59,Coatili
60,Acio
61,Dana
62,Potter
63,Autolite
64,Begren
65,Kelsey - Hayes
67,Hall
68,US Radiator
69,Gifford
70,Shade Tree
71,AC Delco
72,Bendix
73,Ansman
74,Raven
76,Panteli
77,Reed
78,Shelby
79,Leland
80,Dunbar
81,Weiand
82,Quaker
83,Oldfield
84,Milloy
85,Quik Lift
86,Duro Rod
87,Newcomb
88,Hedgely
89,Fyne Grind
90,Electronic Arts
91,Rad Rat
92,C & B
93,Perfect Port
94,Walter
95,Percy
96,Street Shark
97,Pirelli
